Total,日付,Year,Month,Weekday_name
43451,2019-02-01,2019,2,Friday
44277,2019-02-01,2019,2,Friday
48171,2019-02-02,2019,2,Saturday
50527,2019-02-02,2019,2,Saturday
45679,2019-02-03,2019,2,Sunday
43596,2019-02-03,2019,2,Sunday
42008,2019-02-04,2019,2,Monday
48147,2019-02-04,2019,2,Monday
39574,2019-02-05,2019,2,Tuesday
38548,2019-02-05,2019,2,Tuesday
39085,2019-02-06,2019,2,Wednesday
41115,2019-02-06,2019,2,Wednesday
36249,2019-02-07,2019,2,Thursday
38519,2019-02-07,2019,2,Thursday
41195,2019-02-08,2019,2,Friday
42520,2019-02-08,2019,2,Friday
42986,2019-02-09,2019,2,Saturday
42289,2019-02-09,2019,2,Saturday
40122,2019-02-10,2019,2,Sunday
42299,2019-02-10,2019,2,Sunday
37153,2019-02-11,2019,2,Monday
42218,2019-02-11,2019,2,Monday
40194,2019-02-12,2019,2,Tuesday
45983,2019-02-12,2019,2,Tuesday
41586,2019-02-13,2019,2,Wednesday
42892,2019-02-13,2019,2,Wednesday
37197,2019-02-14,2019,2,Thursday
42116,2019-02-14,2019,2,Thursday
40267,2019-02-15,2019,2,Friday
44198,2019-02-15,2019,2,Friday
38603,2019-02-16,2019,2,Saturday
43168,2019-02-16,2019,2,Saturday
37246,2019-02-17,2019,2,Sunday
46152,2019-02-17,2019,2,Sunday
37411,2019-02-18,2019,2,Monday
40296,2019-02-18,2019,2,Monday
41138,2019-02-19,2019,2,Tuesday
44296,2019-02-19,2019,2,Tuesday
34648,2019-02-20,2019,2,Wednesday
45887,2019-02-20,2019,2,Wednesday
39636,2019-02-21,2019,2,Thursday
43006,2019-02-21,2019,2,Thursday
37975,2019-02-22,2019,2,Friday
41264,2019-02-22,2019,2,Friday
42296,2019-02-23,2019,2,Saturday
40069,2019-02-23,2019,2,Saturday
40832,2019-02-24,2019,2,Sunday
42227,2019-02-24,2019,2,Sunday
41602,2019-02-25,2019,2,Monday
44183,2019-02-25,2019,2,Monday
39668,2019-02-26,2019,2,Tuesday
45866,2019-02-26,2019,2,Tuesday
45330,2019-02-27,2019,2,Wednesday
47195,2019-02-27,2019,2,Wednesday
49592,2019-02-28,2019,2,Thursday
47036,2019-02-28,2019,2,Thursday
48230,2019-03-01,2019,3,Friday
45236,2019-03-01,2019,3,Friday
